time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-03 00:00:00+00:00,0,0,4,3
2023-04-04 00:00:00+00:00,0,0,9,4
2023-04-05 00:00:00+00:00,0,0,2,2
2023-04-07 00:00:00+00:00,0,0,5,3
2023-04-08 00:00:00+00:00,0,0,2,2
2023-04-09 00:00:00+00:00,1,1,4,1
2023-04-10 00:00:00+00:00,0,0,4,2
2023-04-11 00:00:00+00:00,0,0,2,2
2023-04-12 00:00:00+00:00,1,1,0,0
2023-04-13 00:00:00+00:00,0,0,2,2
2023-04-14 00:00:00+00:00,0,0,3,2
2023-04-16 00:00:00+00:00,11,8,48,3
2023-04-17 00:00:00+00:00,3,3,4,1
2023-04-18 00:00:00+00:00,1,1,0,0
2023-04-19 00:00:00+00:00,1,1,0,0
2023-04-20 00:00:00+00:00,1,1,9,2
2023-04-21 00:00:00+00:00,1,1,3,2
2023-04-22 00:00:00+00:00,1,1,1,1
2023-04-23 00:00:00+00:00,2,2,3,2
2023-04-24 00:00:00+00:00,2,2,0,0
2023-04-25 00:00:00+00:00,2,2,5,1
2023-04-26 00:00:00+00:00,2,2,2,2
2023-04-27 00:00:00+00:00,1,1,1,1
2023-04-28 00:00:00+00:00,1,1,0,0
2023-04-29 00:00:00+00:00,1,1,0,0
2023-04-30 00:00:00+00:00,1,1,0,0
2023-05-01 00:00:00+00:00,2,2,3,1
2023-05-02 00:00:00+00:00,1,1,2,1
2023-05-03 00:00:00+00:00,2,2,1,1
2023-05-04 00:00:00+00:00,1,1,3,2
2023-05-05 00:00:00+00:00,1,1,5,1
2023-05-06 00:00:00+00:00,1,1,0,0
2023-05-07 00:00:00+00:00,1,1,1,1
2023-05-08 00:00:00+00:00,2,2,78,2
2023-05-09 00:00:00+00:00,2,2,10,3
2023-05-10 00:00:00+00:00,2,2,4,1
2023-05-11 00:00:00+00:00,1,1,0,0
2023-05-12 00:00:00+00:00,1,1,0,0
2023-05-13 00:00:00+00:00,1,1,0,0
2023-05-14 00:00:00+00:00,1,1,4,1
2023-05-15 00:00:00+00:00,2,2,0,0
2023-05-16 00:00:00+00:00,1,1,0,0
2023-05-17 00:00:00+00:00,1,1,0,0
2023-05-18 00:00:00+00:00,1,1,2,1
2023-05-19 00:00:00+00:00,1,1,0,0
2023-05-20 00:00:00+00:00,1,1,0,0
2023-05-21 00:00:00+00:00,1,1,0,0
2023-05-22 00:00:00+00:00,2,2,0,0
2023-05-23 00:00:00+00:00,2,2,0,0
2023-05-24 00:00:00+00:00,2,2,1,1
2023-05-25 00:00:00+00:00,1,1,1,1
2023-05-26 00:00:00+00:00,1,1,12,1
2023-05-27 00:00:00+00:00,1,1,2,1
2023-05-28 00:00:00+00:00,1,1,2,1
2023-05-29 00:00:00+00:00,2,2,0,0
2023-05-30 00:00:00+00:00,1,1,0,0
2023-05-31 00:00:00+00:00,1,1,3,2
2023-06-01 00:00:00+00:00,1,1,0,0
2023-06-02 00:00:00+00:00,1,1,0,0
2023-06-03 00:00:00+00:00,1,1,0,0
2023-06-04 00:00:00+00:00,1,1,0,0
2023-06-05 00:00:00+00:00,2,2,2,1
2023-06-06 00:00:00+00:00,1,1,0,0
2023-06-07 00:00:00+00:00,1,1,0,0
2023-06-08 00:00:00+00:00,1,1,0,0
2023-06-09 00:00:00+00:00,1,1,0,0
2023-06-10 00:00:00+00:00,1,1,0,0
2023-06-11 00:00:00+00:00,2,2,0,0
2023-06-12 00:00:00+00:00,2,2,0,0
2023-06-13 00:00:00+00:00,3,2,6,1
2023-06-14 00:00:00+00:00,3,2,0,0
2023-06-15 00:00:00+00:00,2,2,6,1
2023-06-16 00:00:00+00:00,1,1,32,1
2023-06-17 00:00:00+00:00,1,1,3,1
2023-06-18 00:00:00+00:00,1,1,0,0
2023-06-19 00:00:00+00:00,2,2,0,0
2023-06-20 00:00:00+00:00,1,1,0,0
2023-06-21 00:00:00+00:00,3,2,0,0
2023-06-22 00:00:00+00:00,1,1,0,0
2023-06-23 00:00:00+00:00,1,1,0,0
2023-06-24 00:00:00+00:00,2,2,0,0
2023-06-25 00:00:00+00:00,1,1,0,0
2023-06-26 00:00:00+00:00,2,2,37,2
2023-06-27 00:00:00+00:00,1,1,0,0
2023-06-28 00:00:00+00:00,1,1,0,0
2023-06-29 00:00:00+00:00,1,1,0,0
2023-06-30 00:00:00+00:00,2,2,0,0
2023-07-01 00:00:00+00:00,1,1,0,0
2023-07-02 00:00:00+00:00,3,3,1,1
2023-07-03 00:00:00+00:00,2,2,0,0
2023-07-04 00:00:00+00:00,1,1,0,0
2023-07-05 00:00:00+00:00,1,1,0,0
2023-07-06 00:00:00+00:00,1,1,3,1
2023-07-07 00:00:00+00:00,2,2,0,0
2023-07-08 00:00:00+00:00,1,1,0,0
2023-07-09 00:00:00+00:00,1,1,0,0
2023-07-10 00:00:00+00:00,2,2,74,2
2023-07-11 00:00:00+00:00,1,1,0,0
2023-07-12 00:00:00+00:00,1,1,0,0
2023-07-13 00:00:00+00:00,1,1,0,0
2023-07-14 00:00:00+00:00,1,1,1,1
